## Jona  azbyka.ru/biblia/?Jona.X&utfcs
# Jonah 1
1:1	И҆ бы́сть сло́во гдⷭ҇не ко і҆ѡ́нѣ сы́нꙋ а҆маѳі́инꙋ, гл҃ѧ:
1:16	И҆ ᲂу҆боѧ́шасѧ мꙋ́жїе стра́хомъ вели́кимъ гдⷭ҇а и҆ пожро́ша же́ртвꙋ гдⷭ҇еви и҆ помоли́шасѧ моли́твами.

# Jonah 2
2:1	И҆ повелѣ̀ гдⷭ҇ь ки́тꙋ вели́комꙋ пожре́ти і҆ѡ́нꙋ. И҆ бѣ̀ і҆ѡ́на во чре́вѣ ки́товѣ трѝ дни̑ и҆ трѝ нѡ́щи.
2:2	И҆ помоли́сѧ і҆ѡ́на ко гдⷭ҇ꙋ бг҃ꙋ своемꙋ̀ ѿ чре́ва ки́това
2:3	и҆ речѐ: возопи́хъ въ ско́рби мое́й ко гдⷭ҇ꙋ бг҃ꙋ моемꙋ̀, и҆ ᲂу҆слы́ша мѧ̀: и҆з̾ чре́ва а҆́дова во́пль мо́й, ᲂу҆слы́шалъ є҆сѝ гла́съ мо́й:
2:4	ѿве́рглъ мѧ̀ є҆сѝ во глꙋбины̑ се́рдца морска́гѡ, и҆ рѣ́ки ѡ҆быдо́ша мѧ̀: всѧ̑ высоты̀ твоѧ̑ и҆ вѡ́лны твоѧ̑ на мнѣ̀ преидо́ша.
2:5	И҆ а҆́зъ рѣ́хъ: ѿри́нꙋсѧ ѿ ѻ҆́чїю твое́ю: є҆да̀ приложꙋ̀ призрѣ́ти мѝ ко хра́мꙋ ст҃о́мꙋ твоемꙋ̀;
2:6	Возлїѧ́сѧ на мѧ̀ вода̀ до дꙋшѝ моеѧ̀, бе́здна ѡ҆бы́де мѧ̀ послѣ́днѧѧ, понрѐ глава̀ моѧ̀ въ разсѣ̑лины го́ръ,
2:7	снидо́хъ въ зе́млю, є҆ѧ́же верєѝ є҆ѧ̀ закле́пи вѣ́чнїи: и҆ да взы́детъ и҆з̾ и҆стлѣ́нїѧ живо́тъ мо́й къ тебѣ̀, гдⷭ҇и бж҃е мо́й.
2:8	Внегда̀ скончава́тисѧ ѿ менє̀ дꙋшѝ мое́й, гдⷭ҇а помѧнꙋ́хъ, и҆ да прїи́детъ къ тебѣ̀ моли́тва моѧ̀ ко хра́мꙋ ст҃о́мꙋ твоемꙋ̀.
2:9	Хранѧ́щїи сꙋ́єтнаѧ и҆ лѡ́жнаѧ млⷭ҇ть свою̀ ѡ҆ста́виша:
2:10	а҆́зъ же со гла́сомъ хвале́нїѧ и҆ и҆сповѣ́данїѧ пожрꙋ̀ тебѣ̀, є҆ли̑ка ѡ҆бѣща́хъ, возда́мъ тебѣ̀ во спⷭ҇нїе моѐ гдⷭ҇еви.
2:11	И҆ повелѣ̀ гдⷭ҇ь ки́тови, и҆ и҆зве́рже і҆ѡ́нꙋ на сꙋ́шꙋ.

# Jonah 3
3:1	И҆ бы́сть сло́во гдⷭ҇не ко і҆ѡ́нѣ втори́цею гл҃ѧ:
3:2	воста́ни и҆ и҆дѝ въ нїнеѵі́ю гра́дъ вели́кїй, и҆ проповѣ́ждь въ не́мъ по про́повѣди пре́ждней, ю҆́же а҆́зъ гл҃ахъ тебѣ̀.
3:3	И҆ воста̀ і҆ѡ́на и҆ и҆́де въ нїнеѵі́ю, ꙗ҆́коже гл҃а гдⷭ҇ь. Нїнеѵі́а же бѧ́ше гра́дъ вели́къ бг҃ꙋ, ꙗ҆́кѡ ше́ствїѧ пꙋтѝ трїе́хъ дні́й.
3:4	И҆ нача́тъ і҆ѡ́на входи́ти во гра́дъ, ꙗ҆́кѡ ше́ствїе пꙋтѝ днѐ є҆ди́нагѡ, и҆ проповѣ́да и҆ речѐ: є҆щѐ трѝ дни̑, и҆ нїнеѵі́а преврати́тсѧ.
3:5	И҆ вѣ́роваша мꙋ́жїе нїнеѵі́йстїи бг҃ови, и҆ заповѣ́даша по́стъ, и҆ ѡ҆блеко́шасѧ во врє́тища ѿ вели́ка и҆́хъ да́же до ма́ла и҆́хъ.
3:6	И҆ до́йде сло́во ко царю̀ нїнеѵі́йскомꙋ, и҆ воста̀ съ престо́ла своегѡ̀ и҆ све́рже ри̑зы своѧ̑ съ себє̀, и҆ ѡ҆блече́сѧ во вре́тище и҆ сѣ́де на пе́пелѣ.
3:7	И҆ проповѣ́дасѧ и҆ рече́но бы́сть въ нїнеѵі́и ѿ царѧ̀ и҆ вельмо́жъ є҆гѡ̀ глаго́лющихъ: человѣ́цы и҆ ско́ти, и҆ воло́ве и҆ ѻ҆́вцы да не вкꙋ́сѧтъ ничесѡ́же, ни да пасꙋ́тсѧ, нижѐ воды̀ да пїю́тъ.
3:8	И҆ ѡ҆блеко́шасѧ во врє́тища человѣ́цы и҆ ско́ти и҆ возопи́ша прилѣ́жнѡ къ бг҃ꙋ, и҆ возврати́сѧ кі́йждо ѿ пꙋтѝ своегѡ̀ лꙋка́вагѡ и҆ ѿ непра́вды сꙋ́щїѧ въ рꙋка́хъ и҆́хъ, глаго́люще:
3:9	кто̀ вѣ́сть, а҆́ще раска́етсѧ и҆ ᲂу҆моле́нъ бꙋ́детъ бг҃ъ, и҆ ѡ҆брати́тсѧ ѿ гнѣ́ва ꙗ҆́рости своеѧ̀, и҆ не поги́бнемъ;
3:10	И҆ ви́дѣ бг҃ъ дѣла̀ и҆́хъ, ꙗ҆́кѡ ѡ҆брати́шасѧ ѿ пꙋті́й свои́хъ лꙋка́выхъ, и҆ раска́ѧсѧ бг҃ъ ѡ҆ ѕлѣ̀, є҆́же гл҃аше сотвори́ти и҆̀мъ, и҆ не сотворѝ.

# Jonah 4
4:1	И҆ ѡ҆печа́лисѧ і҆ѡ́на печа́лїю вели́кою и҆ смꙋти́сѧ,
4:2	и҆ помоли́сѧ ко гдⷭ҇ꙋ и҆ речѐ: ѽ гдⷭ҇и, не сїѧ̑ ли ᲂу҆́бѡ словеса̀ моѧ̑, ꙗ҆̀же глаго́лахъ, є҆щѐ сꙋ́щꙋ мѝ на землѝ мое́й; сегѡ̀ ра́ди предвари́хъ бѣжа́ти въ ѳарсі́съ, занѐ разꙋмѣ́хъ, ꙗ҆́кѡ млⷭ҇тивъ ты̀ є҆сѝ и҆ ще́дръ, долготерпѣли́въ и҆ многомлⷭ҇тивъ, и҆ ка́ѧйсѧ ѡ҆ ѕло́бахъ (человѣ́ческихъ):
4:3	и҆ нн҃ѣ, влⷣко гдⷭ҇и, прїимѝ дꙋ́шꙋ мою̀ ѿ менє̀, ꙗ҆́кѡ ᲂу҆́не мѝ ᲂу҆мре́ти, не́жели жи́ти.
4:4	И҆ речѐ гдⷭ҇ь ко і҆ѡ́нѣ: а҆́ще ѕѣлѡ̀ ѡ҆печа́лилсѧ є҆сѝ ты̀;
4:5	И҆ и҆зы́де і҆ѡ́на и҆з̾ гра́да и҆ сѣ́де прѧ́мѡ гра́да, и҆ сотворѝ себѣ̀ кꙋ́щꙋ и҆ сѣдѧ́ше под̾ не́ю въ сѣ́ни, до́ндеже ᲂу҆ви́дитъ, что̀ бꙋ́детъ гра́дꙋ.
4:6	И҆ повелѣ̀ гдⷭ҇ь бг҃ъ ты́квѣ, и҆ возрастѐ над̾ главо́ю і҆ѡ́ниною, да бꙋ́детъ сѣ́нь над̾ главо́ю є҆гѡ̀, є҆́же ѡ҆сѣни́ти є҆го̀ ѿ ѕлы́хъ є҆гѡ̀. И҆ возра́довасѧ і҆ѡ́на ѡ҆ ты́квѣ ра́достїю вели́кою.
4:7	И҆ повелѣ̀ гдⷭ҇ь бг҃ъ че́рвїю ра́ннемꙋ во ᲂу҆́трїе, и҆ под̾ѧдѐ ты́квꙋ, и҆ и҆́зсше.
4:8	И҆ бы́сть вкꙋ́пѣ внегда̀ возсїѧ́ти со́лнцꙋ, и҆ повелѣ̀ бг҃ъ вѣ́трꙋ зно́йнꙋ жегꙋ́щꙋ, и҆ поразѝ со́лнце на главꙋ̀ і҆ѡ́нинꙋ, и҆ малодꙋ́шствоваше и҆ ѿрица́шесѧ дꙋшѝ своеѧ̀ и҆ речѐ:
4:9	ᲂу҆́не мѝ ᲂу҆мре́ти, не́жели жи́ти. И҆ речѐ гдⷭ҇ь бг҃ъ ко і҆ѡ́нѣ: ѕѣлѡ́ ли ѡ҆печа́лилсѧ є҆сѝ ты̀ ѡ҆ ты́квѣ; И҆ речѐ (і҆ѡ́на): ѕѣлѡ̀ ѡ҆печа́лихсѧ а҆́зъ да́же до сме́рти.
4:10	И҆ речѐ гдⷭ҇ь: ты̀ ѡ҆скорби́лсѧ є҆сѝ ѡ҆ ты́квѣ, ѡ҆ не́йже не трꙋди́лсѧ є҆сѝ, ни воскорми́лъ є҆сѝ є҆ѧ̀, ꙗ҆́же роди́сѧ ѡ҆б̾ но́щь и҆ ѡ҆б̾ но́щь поги́бе:
4:11	а҆́зъ же не пощаждꙋ́ ли нїнеѵі́и гра́да вели́кагѡ, въ не́мже живꙋ́тъ мно́жайшїи не́же двана́десѧть те́мъ челѡвѣ́къ, и҆̀же не позна́ша десни́цы своеѧ̀, нижѐ шꙋ́йцы своеѧ̀, и҆ ско́ти и҆́хъ мно́зи;

