## Hebr  azbyka.ru/biblia/?Hebr.X&utfcs
# Heb 1
1:1	[Заⷱ҇ 303] Многоча́стнѣ и҆ многоѡбра́знѣ дре́вле бг҃ъ гл҃авый ѻ҆тцє́мъ во прⷪ҇ро́цѣхъ,
1:12	и҆ ꙗ҆́кѡ ѻ҆де́ждꙋ свїе́ши и҆̀хъ, и҆ и҆змѣнѧ́тсѧ: ты́ же то́йжде є҆сѝ, и҆ лѣ̑та твоѧ̑ не ѡ҆скꙋдѣ́ютъ.
1:13	Комꙋ́ же ѿ а҆́гг҃лъ речѐ когда̀: сѣдѝ ѡ҆деснꙋ́ю менє̀, до́ндеже положꙋ̀ врагѝ твоѧ̑ подно́жїе но́гъ твои́хъ;
1:14	Не вси́ ли сꙋ́ть слꙋже́бнїи дꙋ́си, въ слꙋже́нїе посыла́еми за хотѧ́щихъ наслѣ́довати спⷭ҇нїе;

# Heb 2
2:1	Сегѡ̀ ра́ди подоба́етъ на́мъ ли́шше внима́ти слы̑шаннымъ, да не когда̀ ѿпаде́мъ.
2:2	[Заⷱ҇ 305] А҆́ще бо глаго́ланное а҆́гг҃лы сло́во бы́сть и҆звѣ́стно, и҆ всѧ́ко престꙋпле́нїе и҆ ѡ҆слꙋша́нїе првⷣное прїѧ́тъ мздовоздаѧ́нїе:
2:3	ка́кѡ мы̀ ᲂу҆бѣжи́мъ, ѡ҆ толи́цѣмъ неради́вше спⷭ҇нїи, є҆́же зача́ло прїе́мь глаго́латисѧ ѿ гдⷭ҇а, слы́шавшими въ на́съ и҆звѣсти́сѧ,
2:4	сосвидѣ́тельствꙋющꙋ бг҃ꙋ зна́меньми же и҆ чꙋдесы̀, и҆ разли́чными си́лами, и҆ дх҃а ст҃а́гѡ раздѣле́ньми, по свое́й є҆мꙋ̀ во́ли;
2:5	Не а҆́гг҃лѡмъ бо покорѝ бг҃ъ вселе́ннꙋю грѧдꙋ́щꙋю, ѡ҆ не́йже глаго́лемъ:
2:6	засвидѣ́тельствова же нѣ́гдѣ нѣ́кто, глаго́лѧ: что̀ є҆́сть человѣ́къ, ꙗ҆́кѡ по́мниши є҆го̀; и҆лѝ сы́нъ человѣ́ческїй, ꙗ҆́кѡ посѣща́еши и҆̀;
2:7	ᲂу҆ма́лилъ є҆сѝ є҆го̀ ма́лымъ нѣ́чимъ ѿ а҆́гг҃лъ: сла́вою и҆ чтⷭ҇їю вѣнча́лъ є҆сѝ є҆го̀ и҆ поста́вилъ є҆сѝ є҆го̀ над̾ дѣ́лы рꙋкꙋ̀ твоє́ю,
2:8	всѧ̑ покори́лъ є҆сѝ под̾ но́зѣ є҆гѡ̀. Внегда́ же покори́ти є҆мꙋ̀ всѧ́чєскаѧ, ничто́же ѡ҆ста́ви є҆мꙋ̀ непокоре́но. Нн҃ѣ же не ᲂу҆̀ ви́димъ є҆мꙋ̀ всѧ́чєскаѧ покорє́на:
2:9	а҆ ᲂу҆ма́ленаго ма́лымъ чи́мъ ѿ а҆́гг҃лъ ви́димъ і҆и҃са, за прїѧ́тїе сме́рти сла́вою и҆ чтⷭ҇їю вѣнча́нна, ꙗ҆́кѡ да блгⷣтїю бж҃їею за всѣ́хъ вкꙋ́ситъ сме́рти.
2:10	Подоба́ше бо є҆мꙋ̀, є҆гѡ́же ра́ди всѧ́чєскаѧ и҆ и҆́мже всѧ́чєскаѧ, приве́дшꙋ мнѡ́ги сы́ны въ сла́вꙋ, нача́льника спⷭ҇нїѧ и҆́хъ страда́ньми соверши́ти.
2:11	[Заⷱ҇ 306] И҆ ст҃ѧ́й бо и҆ ѡ҆сщ҃а́емїи, ѿ є҆ди́нагѡ всѝ: є҆ѧ́же ра́ди вины̀ не стыди́тсѧ бра́тїю нарица́ти и҆̀хъ, гл҃ѧ:
2:12	возвѣщꙋ̀ и҆́мѧ твоѐ бра́тїи мое́й, посредѣ̀ це́ркве воспою́ тѧ.
2:13	И҆ па́ки: а҆́зъ бꙋ́дꙋ надѣ́ѧсѧ на́нь. И҆ па́ки: сѐ, а҆́зъ и҆ дѣ́ти, ꙗ҆̀же мѝ да́лъ є҆́сть бг҃ъ.
2:14	Поне́же ᲂу҆̀бо дѣ́ти приѡбщи́шасѧ пло́ти и҆ кро́ви, и҆ то́й прїи́скреннѣ приѡбщи́сѧ тѣ́хже, да см҃ртїю ᲂу҆праздни́тъ и҆мꙋ́щаго держа́вꙋ сме́рти, си́рѣчь дїа́вола,
2:15	и҆ и҆зба́витъ си́хъ, є҆ли́цы стра́хомъ сме́рти чрез̾ всѐ житїѐ пови́нни бѣ́ша рабо́тѣ.
2:16	Не ѿ а҆́гг҃лъ бо когда̀ {вои́стиннꙋ} прїе́млетъ, но ѿ сѣ́мене а҆враа́мова прїе́млетъ:
2:17	ѿню́дꙋже до́лженъ бѣ̀ по всемꙋ̀ подо́битисѧ бра́тїи, да млⷭ҇тивъ бꙋ́детъ и҆ вѣ́ренъ первосщ҃е́нникъ въ тѣ́хъ, ꙗ҆̀же къ бг҃ꙋ, во є҆́же ѡ҆чⷭ҇тити грѣхѝ людскі̑ѧ.
2:18	Въ не́мже бо пострада̀, са́мъ и҆скꙋше́нъ бы́въ, мо́жетъ и҆ и҆скꙋша́ємымъ помощѝ.

# Heb 3
3:1	[Заⷱ҇ 307] Тѣ́мже, бра́тїе ст҃а̑ѧ, зва́нїѧ нбⷭ҇нагѡ прича̑стницы, разꙋмѣ́йте посла́нника и҆ ст҃и́телѧ и҆сповѣ́данїѧ на́шегѡ і҆и҃са хрⷭ҇та̀,
3:2	вѣ́рна сꙋ́ща сотво́ршемꙋ є҆го̀, ꙗ҆́коже и҆ мѡѷсе́й во все́мъ домꙋ̀ є҆гѡ̀.
3:3	Мно́жайшей бо сла́вѣ се́й па́че мѡѷсе́а сподо́бисѧ, є҆ли́кѡ мно́жайшꙋю че́сть и҆́мать па́че до́мꙋ сотвори́вый є҆го̀:
3:4	всѧ́къ бо до́мъ созида́етсѧ ѿ нѣ́коегѡ: а҆ сотвори́вый всѧ́чєскаѧ бг҃ъ.
3:5	[Заⷱ҇ 308] И҆ мѡѷсе́й ᲂу҆́бѡ вѣ́ренъ бѣ̀ во все́мъ домꙋ̀ є҆гѡ̀, ꙗ҆́коже слꙋга̀, во свидѣ́тельство глаго́латисѧ и҆мѣ́вшымъ:
3:6	хрⷭ҇то́съ же ꙗ҆́коже сн҃ъ въ домꙋ̀ свое́мъ: є҆гѡ́же до́мъ мы̀ є҆смы̀, а҆́ще дерзнове́нїе и҆ похвалꙋ̀ ᲂу҆пова́нїѧ да́же до конца̀ и҆звѣ́стно ᲂу҆держи́мъ.
3:7	Тѣ́мже, ꙗ҆́коже гл҃етъ дх҃ъ ст҃ы́й, дне́сь, а҆́ще гла́съ є҆гѡ̀ ᲂу҆слы́шите,
3:8	не ѡ҆жесточи́те серде́цъ ва́шихъ, ꙗ҆́коже въ прогнѣ́ванїи, во днѝ и҆скꙋше́нїѧ въ пꙋсты́ни,
3:9	и҆дѣ́же и҆скꙋси́ша мѧ̀ ѻ҆тцы̀ ва́ши, и҆скꙋси́ша мѧ̀ и҆ ви́дѣша дѣла̀ моѧ̑ четы́редесѧть лѣ́тъ.
3:10	Сегѡ̀ ра́ди негодова́хъ ро́да тогѡ̀ и҆ рѣ́хъ: прⷭ҇нѡ заблꙋжда́ютъ се́рдцемъ, ті́и же не позна́ша пꙋті́й мои́хъ:
3:11	ꙗ҆́кѡ клѧ́хсѧ во гнѣ́вѣ мое́мъ, а҆́ще вни́дꙋтъ въ поко́й мо́й.
3:12	[Заⷱ҇ 309] Блюди́те, бра́тїе, да не когда̀ бꙋ́детъ въ нѣ́коемъ ѿ ва́съ се́рдце лꙋка́во, (и҆спо́лнено) невѣ́рїѧ, во є҆́же ѿстꙋпи́ти ѿ бг҃а жи́ва.
3:13	Но ᲂу҆тѣша́йте себѐ на всѧ́къ де́нь до́ндеже дне́сь нарица́етсѧ, да не ѡ҆жесточи́тсѧ нѣ́кто ѿ ва́съ ле́стїю грѣхо́вною:
3:14	прича̑стницы бо бы́хомъ хрⷭ҇тꙋ̀, а҆́ще то́чїю нача́токъ соста́ва да́же до конца̀ и҆звѣ́стенъ ᲂу҆держи́мъ:
3:15	внегда̀ гл҃етъ: дне́сь, а҆́ще гла́съ є҆гѡ̀ ᲂу҆слы́шите, не ѡ҆жесточи́те серде́цъ ва́шихъ, ꙗ҆́коже въ прогнѣ́ванїи.
3:16	Нѣ́цыи бо слы́шавше прогнѣ́ваша, но не всѝ и҆зше́дшїи и҆з̾ є҆гѵ́пта съ мѡѷсе́омъ.
3:17	Ко́ихъ же негодова̀ четы́редесѧть лѣ́тъ; Не согрѣши́вшихъ ли, и҆́хже кѡ́сти падо́ша въ пꙋсты́ни;
3:18	Котѡ́рымъ же клѧ́лсѧ не вни́ти въ поко́ище є҆гѡ̀; Ꙗ҆́вѣ, ꙗ҆́кѡ проти́вльшымсѧ.
3:19	И҆ ви́димъ, ꙗ҆́кѡ не возмого́ша вни́ти за невѣ́рствїе.

# Heb 4
4:1	[Заⷱ҇ 310] Да ᲂу҆бои́мсѧ ᲂу҆̀бо, да не когда̀ ѡ҆ста́вленꙋ ѡ҆бѣтова́нїю вни́ти въ поко́й є҆гѡ̀, ꙗ҆ви́тсѧ кто̀ ѿ ва́съ лиши́всѧ.
4:2	И҆́бо на́мъ благовѣствова́но є҆́сть, ꙗ҆́коже и҆ ѡ҆́нѣмъ: но не по́льзова ѻ҆́нѣхъ сло́во слꙋ́ха, не растворе́нное вѣ́рою слы́шавшихъ.
4:3	Вхо́димъ бо въ поко́й вѣ́ровавшїи, ꙗ҆́коже речѐ: ꙗ҆́кѡ клѧ́хсѧ во гнѣ́вѣ мое́мъ, а҆́ще вни́дꙋтъ въ поко́й мо́й: а҆́ще и҆ дѣлѡ́мъ ѿ сложе́нїѧ мі́ра бы́вшымъ.
4:4	Рече́ бо нѣ́гдѣ ѡ҆ седмѣ́мъ си́це: и҆ почѝ бг҃ъ въ де́нь седмы́й ѿ всѣ́хъ дѣ́лъ свои́хъ.
4:5	И҆ въ се́мъ па́ки: а҆́ще вни́дꙋтъ въ поко́й мо́й.
4:6	Поне́же ᲂу҆̀бо лише́ни нѣ́цыи {ѡ҆стае́тсѧ нѣ̑кїимъ} вни́ти въ него̀, и҆ и҆̀мже пре́жде благовѣствова́но бѣ̀, не внидо́ша за непослꙋша́нїе:
4:7	па́ки нѣ́кїй ᲂу҆ставлѧ́етъ де́нь, дне́сь, въ дв҃дѣ гл҃ѧ, по толи́цѣхъ лѣ́тѣхъ, ꙗ҆́коже пре́жде глаго́ласѧ: дне́сь, а҆́ще гла́съ є҆гѡ̀ ᲂу҆слы́шите, не ѡ҆жесточи́те серде́цъ ва́шихъ.
4:8	А҆́ще бо бы ѻ҆́нѣхъ і҆и҃съ ᲂу҆поко́илъ, не бы̀ ѡ҆ и҆нѣ́мъ днѝ глаго́лалъ по си́хъ.
4:9	Оу҆̀бо ѡ҆ста́влено є҆́сть (и҆ є҆щѐ) сꙋббѡ́тство лю́демъ бж҃їимъ:
4:10	вше́дый бо въ поко́й є҆гѡ̀, и҆ то́й почѝ ѿ дѣ́лъ свои́хъ, ꙗ҆́коже ѿ свои́хъ бг҃ъ.
4:11	Потщи́мсѧ ᲂу҆̀бо вни́ти во ѻ҆́ный поко́й, да не кто̀ въ тꙋ́ же при́тчꙋ противле́нїѧ впаде́тъ.
4:12	Жи́во бо сло́во бж҃їе и҆ дѣ́йственно, и҆ ѻ҆стрѣ́йше па́че всѧ́кагѡ меча̀ ѻ҆бою́дꙋ ѻ҆стра̀, и҆ проходѧ́щее да́же до раздѣле́нїѧ дꙋши́ же и҆ дꙋ́ха, членѡ́въ же и҆ мозгѡ́въ, и҆ сꙋди́тельно помышле́нїємъ и҆ мы́слемъ сердє́чнымъ.
4:13	И҆ нѣ́сть тва́рь неѧвле́на пред̾ ни́мъ, всѧ̑ же нага̑ и҆ ѡ҆б̾ѧвлє́на пред̾ ѻ҆чи́ма є҆гѡ̀, къ немꙋ́же на́мъ сло́во.
4:14	[Заⷱ҇ 311] И҆мꙋ́ще ᲂу҆̀бо а҆рхїере́а вели́ка, проше́дшаго нб҃са̀, і҆и҃са сн҃а бж҃їѧ, да держи́мсѧ и҆сповѣ́данїѧ.
4:15	Не и҆́мамы бо а҆рхїере́а не могꙋ́ща спострада́ти не́мощемъ на́шымъ, но и҆скꙋше́на по всѧ́чєскимъ по подо́бїю, ра́звѣ грѣха̀.
4:16	Да пристꙋпа́емъ ᲂу҆̀бо съ дерзнове́нїемъ къ прⷭ҇то́лꙋ блгⷣти, да прїи́мемъ млⷭ҇ть и҆ блгⷣть ѡ҆брѧ́щемъ во бл҃говре́меннꙋ по́мощь.

# Heb 5
5:1	Всѧ́къ бо первосвѧще́нникъ, ѿ человѣ̑къ прїе́млемь, за человѣ́ки поставлѧ́етсѧ на слꙋ̑жбы ꙗ҆̀же къ бг҃ꙋ, да прино́ситъ да́ры же и҆ жє́ртвы ѡ҆ грѣсѣ́хъ,
5:2	спострада́ти могі́й невѣ́жствꙋющымъ и҆ заблꙋжда́ющымъ, поне́же и҆ то́й не́мощїю ѡ҆бложе́нъ є҆́сть:
5:3	и҆ сегѡ̀ ра́ди до́лженъ є҆́сть ꙗ҆́коже ѡ҆ лю́дехъ, та́кожде и҆ ѡ҆ себѣ̀ приноси́ти за грѣхѝ.
5:4	[Заⷱ҇] И҆ никто́же са́мъ себѣ̀ прїе́млетъ че́сть, но зва́нный ѿ бг҃а, ꙗ҆́коже и҆ а҆арѡ́нъ.
5:5	Та́кѡ и҆ хрⷭ҇то́съ не себѐ просла́ви бы́ти первосщ҃е́нника, но гл҃авый къ немꙋ̀: сн҃ъ мо́й є҆сѝ ты̀, а҆́зъ дне́сь роди́хъ тѧ̀:
5:6	ꙗ҆́коже и҆ и҆́ндѣ гл҃етъ: ты̀ є҆сѝ сщ҃е́нникъ во вѣ́къ по чи́нꙋ мелхїседе́ковꙋ.
5:7	И҆́же во дне́хъ пл҃ти своеѧ̀ молє́нїѧ же и҆ мл҃твы къ могꙋ́щемꙋ спⷭ҇тѝ є҆го̀ ѿ сме́рти съ во́племъ крѣ́пкимъ и҆ со слеза́ми прине́съ, и҆ ᲂу҆слы́шанъ бы́въ ѿ бл҃гоговѣ́инства,
5:8	а҆́ще и҆ сн҃ъ бѧ́ше, ѻ҆ба́че навы́че ѿ си́хъ, ꙗ҆̀же пострада̀, послꙋша́нїю,
5:9	и҆ соверши́всѧ бы́сть всѣ̑мъ послꙋ́шающымъ є҆гѡ̀ вино́венъ спⷭ҇нїѧ вѣ́чнагѡ,
5:10	нарече́нъ ѿ бг҃а первосщ҃е́нникъ по чи́нꙋ мелхїседе́ковꙋ.
5:11	[Заⷱ҇ 312] Ѡ҆ не́мже мно́гое на́мъ сло́во и҆ неꙋдо́бь сказа́емое глаго́лати, поне́же не́мощни бы́сте слꙋ̑хи.
5:12	И҆́бо, до́лжни сꙋ́ще бы́ти ᲂу҆чи́телїе лѣ́тъ ра́ди, па́ки тре́бꙋете ᲂу҆чи́тисѧ, ка̑ѧ пи́смена нача́ла слове́съ бж҃їихъ: и҆ бы́сте тре́бꙋюще млека̀, а҆ не крѣ́пкїѧ пи́щи.
5:13	Всѧ́къ бо причаща́ѧйсѧ млека̀ неискꙋ́сенъ сло́ва пра́вды, младе́нецъ бо є҆́сть:
5:14	соверше́нныхъ же є҆́сть тве́рдаѧ пи́ща, и҆мꙋ́щихъ чꙋ̑вствїѧ ѡ҆бꙋчє́на до́лгимъ ᲂу҆че́нїемъ въ разсꙋжде́нїе добра́ же и҆ ѕла̀.

# Heb 6
6:1	Тѣ́мже ѡ҆ста́вльше нача́ла хрⷭ҇то́ва сло́во, на соверше́нїе да веде́мсѧ, не па́ки ѡ҆снова́нїе покаѧ́нїѧ полага́юще ѿ ме́ртвыхъ дѣ́лъ, и҆ вѣ́ры въ бг҃а,
6:2	кр҃ще́нїй ᲂу҆че́нїѧ, возложе́нїѧ же рꙋ́къ, воскрⷭ҇нїѧ же ме́ртвыхъ и҆ сꙋда̀ вѣ́чнагѡ.
6:3	И҆ сїѐ сотвори́мъ, а҆́ще бг҃ъ повели́тъ.
6:4	Невозмо́жно бо просвѣще́нныхъ є҆ди́ною и҆ вкꙋси́вшихъ да́ра нбⷭ҇нагѡ, и҆ прича́стникѡвъ бы́вшихъ дх҃а ст҃а́гѡ,
6:5	и҆ до́брагѡ вкꙋси́вшихъ бж҃їѧ гл҃го́ла и҆ си́лы грѧдꙋ́щагѡ вѣ́ка,
6:6	и҆ ѿпа́дшихъ, па́ки ѡ҆бновлѧ́ти въ покаѧ́нїе, второ́е распина́ющихъ сн҃а бж҃їѧ себѣ̀ и҆ ѡ҆блича́ющихъ.
6:7	Землѧ́ бо пи́вшаѧ сходѧ́щїй на ню̀ мно́жицею до́ждь и҆ ражда́ющаѧ бы̑лїѧ дѡ́браѧ ѡ҆́нымъ, и҆́миже и҆ дѣ́лаема быва́етъ, прїе́млетъ блгⷭ҇ве́нїе ѿ бг҃а:
6:8	а҆ и҆зносѧ́щаѧ тє́рнїѧ и҆ волче́цъ непотре́бна є҆́сть и҆ клѧ́твы бли́з̾, є҆ѧ́же кончи́на въ пожже́нїе.
6:9	[Заⷱ҇ 313] Надѣ́емсѧ же ѡ҆ ва́съ, возлю́бленнїи, лꙋ́чшихъ и҆ придержа́щихсѧ спⷭ҇нїѧ, а҆́ще и҆ та́кѡ глаго́лемъ.
6:10	Не ѡ҆би́дливъ бо бг҃ъ, забы́ти дѣ́ла ва́шегѡ и҆ трꙋда̀ любвѐ, ю҆́же показа́сте во и҆́мѧ є҆гѡ̀, послꙋжи́вше ст҃ы̑мъ и҆ слꙋжа́ще.
6:11	Жела́емъ же, да кі́йждо ва́съ ꙗ҆влѧ́етъ то́жде тща́нїе ко и҆звѣще́нїю ᲂу҆пова́нїѧ да́же до конца̀,
6:12	да не лѣни́ви бꙋ́дете, но подража́телє наслѣ́дствꙋющихъ ѡ҆бѣтова̑нїѧ вѣ́рою и҆ долготерпѣ́нїемъ.
6:13	[Заⷱ҇ 314] А҆враа́мꙋ бо ѡ҆бѣтова́ѧ бг҃ъ, поне́же ни є҆ди́нѣмъ и҆мѧ́ше бо́льшимъ клѧ́тисѧ, клѧ́тсѧ собо́ю,
6:14	гл҃ѧ: вои́стиннꙋ блгⷭ҇вѧ̀ блгⷭ҇влю́ тѧ и҆ ᲂу҆множа́ѧ ᲂу҆мно́жꙋ тѧ̀.
6:15	И҆ та́кѡ долготерпѣ́въ, полꙋчѝ ѡ҆бѣтова́нїе.
6:16	Человѣ́цы бо бо́льшимъ кленꙋ́тсѧ, и҆ всѧ́комꙋ и҆́хъ прекосло́вїю кончи́на во и҆звѣще́нїе клѧ́тва (є҆́сть).
6:17	Въ не́мже ли́шше хотѧ̀ бг҃ъ показа́ти наслѣ́дникѡмъ ѡ҆бѣтова́нїѧ непрело́жное совѣ́та своегѡ̀, хода́тайствова клѧ́твою:
6:18	да двѣма̀ ве́щьми непрело́жными, въ ни́хже невозмо́жно солга́ти бг҃ꙋ, крѣ́пкое ᲂу҆тѣше́нїе и҆́мамы прибѣ́гшїи ꙗ҆́тисѧ за предлежа́щее ᲂу҆пова́нїе,
6:19	є҆́же а҆́ки ко́твꙋ и҆́мамы дꙋшѝ, тве́рдꙋ же и҆ и҆звѣ́стнꙋ, и҆ входѧ́щꙋю во внꙋ́треннѣйшее завѣ́сы,
6:20	и҆дѣ́же прⷣте́ча ѡ҆ на́съ вни́де і҆и҃съ, по чи́нꙋ мелхїседе́ковꙋ первосщ҃е́нникъ бы́въ во вѣ́ки.

# Heb 7
7:1	[Заⷱ҇ 315] Се́й бо мелхїседе́къ, цр҃ь сали́мскїй, сщ҃е́нникъ бг҃а вы́шнѧгѡ, и҆́же срѣ́те а҆враа́ма возвра́щшасѧ ѿ сѣ́ча царе́й и҆ блгⷭ҇вѝ є҆го̀,
7:2	є҆мꙋ́же и҆ десѧти́нꙋ ѿ всѣ́хъ ѿдѣлѝ а҆враа́мъ, пе́рвѣе ᲂу҆́бѡ сказꙋ́етсѧ цр҃ь пра́вды, пото́мъ же цр҃ь сали́мскїй, є҆́же є҆́сть, цр҃ь ми́ра,
7:3	без̾ ѻ҆тца̀, без̾ ма́тере, без̾ при́чта ро́да, ни нача́ла днє́мъ, ни животꙋ̀ конца̀ и҆мѣ́ѧ, ᲂу҆подо́бленъ же сн҃ꙋ бж҃їю, пребыва́етъ сщ҃е́нникъ вы́нꙋ.
7:4	Ви́дите же, є҆ли́къ се́й, є҆мꙋ́же и҆ десѧти́нꙋ да́лъ є҆́сть а҆враа́мъ патрїа́рхъ ѿ и҆збра́нныхъ.
7:5	И҆ прїе́млющїи ᲂу҆́бѡ свѧще́нство ѿ сынѡ́въ леѵі̑инъ за́повѣдь и҆́мꙋтъ ѡ҆десѧ́тствовати лю́ди по зако́нꙋ, си́рѣчь, бра́тїю свою̀, а҆́ще и҆ ѿ чре́слъ а҆враа́мовыхъ и҆зше́дшꙋю:
7:6	не причита́емый же ро́домъ къ ни̑мъ, ѡ҆десѧ́тствова а҆враа́ма и҆ и҆мꙋ́щаго ѡ҆бѣтова̑нїѧ блгⷭ҇вѝ:
7:7	[Заⷱ҇ 316] без̾ всѧ́кагѡ же прекосло́вїѧ ме́ньшее ѿ бо́льшагѡ бл҃гословлѧ́етсѧ.
7:8	И҆ здѣ̀ ᲂу҆́бѡ десѧти̑ны человѣ́цы ᲂу҆мира́ющїи прїе́млютъ: та́мѡ же свидѣ́тельствꙋемый, ꙗ҆́кѡ жи́въ є҆́сть.
7:9	И҆ да си́це рекꙋ̀, а҆враа́момъ и҆ леѵі́й, прїе́млѧй десѧти̑ны, десѧти̑ны да́лъ є҆́сть:
7:10	є҆ще́ бо въ чре́слѣхъ ѻ҆́тчїихъ бѧ́ше, є҆гда̀ срѣ́те є҆го̀ мелхїседе́къ.
7:11	А҆́ще ᲂу҆́бѡ соверше́нство леѵі́тскимъ свѧще́нствомъ бы́ло, лю́дїе бо на не́мъ взако́нени бы́ша: ка́ѧ є҆щѐ потре́ба по чи́нꙋ мелхїседе́ковꙋ и҆но́мꙋ воста́ти свѧще́нникꙋ, а҆ не по чи́нꙋ а҆арѡ́новꙋ глаго́латисѧ;
7:12	прелага́емꙋ бо свѧще́нствꙋ, по нꙋ́жди и҆ зако́нꙋ премѣне́нїе быва́етъ.
7:13	Ѡ҆ не́мже бо глаго́лютсѧ сїѧ̑, колѣ́нꙋ и҆но́мꙋ причасти́сѧ, ѿ негѡ́же никто́же пристꙋпѝ ко ѻ҆лтарю̀:
7:14	ꙗ҆́вѣ бо, ꙗ҆́кѡ ѿ колѣ́на і҆ꙋ́дова возсїѧ̀ гдⷭ҇ь на́шъ, ѡ҆ не́мже колѣ́нѣ мѡѷсе́й ѡ҆ свѧще́нствѣ ничесо́же глаго́ла.
7:15	И҆ ли́шше є҆щѐ ꙗ҆́вѣ є҆́сть, ꙗ҆́кѡ по подо́бїю мелхїседе́ковꙋ востае́тъ сщ҃е́нникъ и҆́нъ,
7:16	и҆́же не по зако́нꙋ за́повѣди плотскі́ѧ бы́сть, но по си́лѣ живота̀ неразрꙋша́емагѡ.
7:17	Свидѣ́тельствꙋетъ бо, ꙗ҆́кѡ ты̀ є҆сѝ сщ҃е́нникъ во вѣ́къ по чи́нꙋ мелхїседе́ковꙋ.
7:18	[Заⷱ҇ 317] Ѿлага́нїе ᲂу҆́бѡ быва́етъ пре́жде бы́вшїѧ за́повѣди за не́мощное є҆ѧ̀ и҆ неполе́зное:
7:19	ничто́же бо соверши́лъ зако́нъ: привведе́нїе же є҆́сть лꙋ́чшемꙋ ᲂу҆пова́нїю, и҆́мже приближа́емсѧ къ бг҃ꙋ.
7:20	И҆ по є҆ли́кꙋ не без̾ клѧ́твы:
7:21	ѻ҆ни́ бо без̾ клѧ́твы свѧще́нницы бы́ша, се́й же съ клѧ́твою чрез̾ глаго́лющаго къ немꙋ̀: клѧ́тсѧ гдⷭ҇ь и҆ не раска́етсѧ: ты̀ є҆сѝ сщ҃е́нникъ во вѣ́къ по чи́нꙋ мелхїседе́ковꙋ:
7:22	по толи́кꙋ лꙋ́чшагѡ завѣ́та бы́сть и҆спорꙋ́чникъ і҆и҃съ.
7:23	И҆ ѻ҆нѝ мно́жайши свѧще́нницы бы́ша, занѐ сме́ртїю возбране́ни сꙋ́ть пребыва́ти:
7:24	се́й же, зане́же пребыва́етъ во вѣ́ки, непрестꙋ́пное и҆́мать сщ҃е́нство,
7:25	тѣ́мже и҆ спⷭ҇тѝ до конца̀ мо́жетъ приходѧ́щихъ чрез̾ него̀ къ бг҃ꙋ, всегда̀ жи́въ сы́й, во є҆́же хода́тайствовати ѡ҆ ни́хъ.
7:26	[Заⷱ҇ 318] Тако́въ бо на́мъ подоба́ше а҆рхїере́й: прпⷣбенъ, неѕло́бивъ, безскве́рненъ, ѿлꙋче́нъ ѿ грѣ̑шникъ и҆ вы́шше нб҃съ бы́вый,
